Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P,2P,2PA,2P,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Quincy Acy,PF,25,SAC,7,2,11.0,0.6,1.0,.571,0.1,0.3,.500,0.4,0.7,.600,.643,0.3,0.6,.500,0.1,1.3,1.4,0.7,0.3,0.3,0.4,0.9,1.6
2,Jordan Adams,SG,21,MEM,2,0,7.5,1.0,3.0,.333,0.0,0.5,.000,1.0,2.5,.400,.333,1.5,2.5,.600,0.0,1.0,1.0,1.5,1.5,0.0,1.0,1.0,3.5
3,Steven Adams,C,22,OKC,13,13,24.1,2.3,4.1,.566,0.0,0.0,,2.3,4.1,.566,.566,1.5,2.2,.655,2.3,3.2,5.5,0.8,0.4,1.8,1.0,3.1,6.1
4,Arron Afflalo,SG,30,NYK,5,5,29.8,5.4,11.8,.458,1.0,3.2,.313,4.4,8.6,.512,.500,0.2,0.2,1.000,0.4,3.0,3.4,1.8,0.0,0.0,0.8,2.4,12.0
5,Alexis Ajinca,C,27,NOP,13,3,12.2,2.2,4.3,.518,0.0,0.0,,2.2,4.3,.518,.518,0.5,0.5,1.000,1.3,2.6,3.9,0.3,0.3,0.5,0.7,2.2,5.0
6,Cole Aldrich,C,27,LAC,3,0,4.7,0.7,1.0,.667,0.0,0.0,,0.7,1.0,.667,.667,0.0,0.0,,0.3,1.0,1.3,0.0,0.0,0.0,0.3,0.7,1.3
7,LaMarcus Aldridge,PF,30,SAS,12,12,31.1,5.8,13.6,.429,0.0,0.5,.000,5.8,13.1,.446,.429,3.6,4.2,.860,2.8,7.1,9.9,1.8,0.2,0.9,1.6,2.3,15.3
8,Cliff Alexander,PF,20,POR,4,0,6.8,1.0,2.3,.444,0.0,0.0,,1.0,2.3,.444,.444,0.0,0.0,,0.5,1.0,1.5,0.0,0.0,0.5,0.0,0.0,2.0
9,Lavoy Allen,PF,26,IND,11,3,20.8,1.9,4.9,.389,0.0,0.0,,1.9,4.9,.389,.389,0.5,1.0,.455,1.8,3.6,5.5,1.4,0.4,0.5,0.8,2.1,4.3
10,Tony Allen,SF,34,MEM,13,12,22.5,2.7,6.4,.422,0.2,0.8,.300,2.5,5.6,.438,.440,0.5,1.1,.500,1.7,2.5,4.2,1.1,1.7,0.3,0.8,3.3,6.2
11,Al-Farouq Aminu,SF,25,POR,14,13,33.1,4.5,11.1,.406,1.6,4.6,.354,2.9,6.4,.444,.481,2.2,2.9,.756,1.1,6.7,7.9,1.9,0.6,0.9,1.9,2.8,12.9
12,Lou Amundson,PF,33,NYK,5,0,11.4,1.0,1.8,.556,0.0,0.0,,1.0,1.8,.556,.556,0.6,1.0,.600,1.0,1.6,2.6,0.4,0.4,0.6,0.2,2.6,2.6
13,Chris Andersen,C,37,MIA,2,0,6.5,0.5,0.5,1.000,0.0,0.0,,0.5,0.5,1.000,1.000,0.5,1.0,.500,0.5,1.5,2.0,0.0,0.0,0.0,1.0,0.5,1.5
14,James Anderson,SG,26,SAC,9,6,11.0,0.9,3.2,.276,0.7,2.1,.316,0.2,1.1,.200,.379,0.7,0.8,.857,0.2,0.6,0.8,0.6,0.4,0.1,0.9,0.7,3.1
15,Justin Anderson,SG,22,DAL,10,1,7.4,1.3,2.6,.500,0.4,1.2,.333,0.9,1.4,.643,.577,0.2,0.2,1.000,0.1,1.2,1.3,0.2,0.2,0.2,0.5,0.4,3.2
16,Kyle Anderson,SF,22,SAS,12,1,9.3,0.8,2.5,.333,0.2,0.4,.400,0.7,2.1,.320,.367,0.3,0.7,.375,0.3,1.7,1.9,0.8,0.4,0.6,0.3,0.7,2.1
