Player,Pos,PER,True Shoot Pct,FTr,ORB.,DRB.,AST.,STL.,BLK.,TOV.,USG.,OWS,DWS,WS.48,OBPM,DBPM,VORP,Gms Played,Games Started,MP.y,FG.,X3P.1,X2P.1,eFG.,FT.,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,Age,Average_Salary
Alonzo Gee,SF,13,0.548,0.414,5.9,9.5,5.8,2.7,0.8,13,16.7,0.6,0.6,0.086,-1.3,0.3,0.2,54,2,662,0.468,0.371,0.49,0.503,0.701,37,57,25,35,7,33,58,241,28,1349700
Amir Johnson,PF,15.4,0.603,0.249,9.3,17.3,9.4,1.1,2.4,16,15.7,3.5,1.6,0.124,0.8,1,1.9,75,72,1979,0.574,0.413,0.59,0.592,0.612,159,297,117,44,59,110,225,694,28,12000000
Anthony Davis,PF,30.8,0.591,0.384,8,24.1,11.6,2.1,6.2,6.3,27.8,9.9,4.2,0.274,4.2,3,5.7,68,68,2455,0.535,0.083,0.54,0.536,0.805,173,523,149,100,200,95,141,1656,22,29000000
Anthony Tolliver,PF,11.1,0.569,0.176,3.7,14.5,6.3,0.9,0.9,10.8,14.7,1.8,0.9,0.092,0.5,-1.1,0.5,76,11,1432,0.41,0.366,0.534,0.545,0.783,51,185,59,24,16,51,137,482,30,3000000
Blake Griffin,PF,22.8,0.551,0.373,6.1,17.9,26.2,1.4,1.2,10.2,28.4,6.6,2.4,0.183,3.1,1,3.6,67,67,2356,0.502,0.4,0.504,0.506,0.728,126,382,354,63,35,152,196,1469,26,18907725
Brandan Wright,PF,20.4,0.66,0.309,9.6,14.7,4.4,1.7,5.1,7.6,13.6,4.3,1.8,0.202,1.2,2.4,2,75,7,1449,0.642,0,0.647,0.642,0.696,128,193,41,50,94,34,102,544,28,5709880
Brandon Bass,PF,16.3,0.557,0.313,7.8,14.9,8.6,1.1,1.3,9.6,19.5,3.4,1.9,0.132,-0.4,-0.1,0.7,82,43,1929,0.504,0.281,0.515,0.51,0.79,139,259,104,41,32,83,140,866,30,3000000
Carl Landry,PF,14.9,0.578,0.407,9.8,15.5,3.6,0.6,1.1,11,18.1,2.3,0.5,0.112,-1,-2.6,-0.5,70,15,1192,0.515,NA,0.515,0.515,0.82,99,169,26,15,17,54,132,503,32,6500000
Carmelo Anthony,SF,21.5,0.531,0.294,5.7,16,18,1.5,1,8.9,32.2,2.2,0.6,0.097,3.5,-2.2,1.2,40,40,1428,0.444,0.341,0.474,0.482,0.797,72,192,122,40,17,89,87,966,31,24812936
Caron Butler,SF,9.3,0.544,0.154,1.4,12.2,7.3,1.4,0.2,10.4,12.9,1.3,1,0.07,-1,-0.5,0.2,78,21,1623,0.407,0.379,0.441,0.511,0.902,21,175,79,43,4,49,120,460,35,1525423
